;id;operator
923;870702643;
924;870717790;
925;872980408;AVIA
926;872980858;
927;874226827;BP
928;874380737;
929;875365969;
930;876403608;A.H. Meyer & Cie
931;881239152;Grenacher
932;884923624;Franz Schulthess
933;886099076;Peugeot
934;886099078;
935;886523893;Indipend.
936;894602267;Shell
937;897687154;
938;897930772;
939;898008622;Migrol
940;898008646;Ruedi Russel
941;898008652;Oeltrans
942;898008653;Agrola
943;899266012;Flamol
944;899266029;Oeltrans
945;901272805;
946;903623217;
947;905812406;Shell
948;909070466;
949;910361190;Tamoil
950;913688031;
951;914435375;
952;914791674;tamoil
953;917123981;
954;918635498;
955;919443818;Agrola
956;919564460;
957;920135499;Ri
958;921835954;BP
959;922262714;
960;925664468;LANDI Sense
961;926307636;oeltrans
962;926367587;oeltrans
963;926471416;Shell
964;926471432;Migrol
965;926942122;Avia Osterwalder Zürich
966;927182599;LANDI
967;928545561;Migrol
968;930927146;Mini Prix
969;933733064;
970;935187372;
971;935831675;
972;935831690;Wehntaler Autoservice
973;935832538;A.H. Meyer & Cie
974;936772253;Migrol
975;938274837;
976;939637420;
977;941902425;
978;943479483;
979;945468337;
980;948341016;Agrola
981;955760539;
982;956494164;Avia
983;965867266;
984;965894250;Oel-Pool AG
985;969251925;Shell
986;970843021;Semes Automobile
987;973614064;Garage Fisch
988;973614249;Garage Keller AG
989;979180799;
990;988280430;SOCAR Energy Switzerland
991;989019171;
992;989929488;
993;997576722;
994;1002580653;Tamoil
995;1003452651;
996;1004434937;
997;1005690808;Garage Kocher AG
998;1005732659;Agrola
999;1005732665;
1000;1008617454;Garage Yersin
1001;1008899786;
1002;1008973306;
1003;1010474279;Shell
1004;1019965180;
1005;1033691216;CaTa-Shop GmbH
1006;1038655555;
1007;1043570734;
1008;1043645162;
1009;1043645236;
1010;1066532173;Agrola
1011;1066847210;Agrola
1012;1069757909;
1013;1070743614;
1014;1075588444;Coop Mineraloel
1015;1077316888;
1016;1077316889;
1017;1077327023;
1018;1083458072;BP
